"filename", "language", "JavaScript", "Markdown", "HTML", "Vue", "JSON", "JSON with Comments", "comment", "blank", "total"
"d:\WH_flower_management\README.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 6, 25
"d:\WH_flower_management\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\WH_flower_management\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 8, 12, 0, 20
"d:\WH_flower_management\mapConfig.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\WH_flower_management\package-lock.json", "JSON", 0, 0, 0, 0, 13027, 0, 0, 1, 13028
"d:\WH_flower_management\package.json", "JSON", 0, 0, 0, 0, 69, 0, 0, 1, 70
"d:\WH_flower_management\public\index.html", "HTML", 0, 0, 33, 0, 0, 0, 1, 6, 40
"d:\WH_flower_management\src\App.vue", "Vue", 0, 0, 0, 15, 0, 0, 0, 4, 19
"d:\WH_flower_management\src\components\AvatarUpload.vue", "Vue", 0, 0, 0, 236, 0, 0, 8, 9, 253
"d:\WH_flower_management\src\components\Header.vue", "Vue", 0, 0, 0, 74, 0, 0, 0, 8, 82
"d:\WH_flower_management\src\components\Heart.vue", "Vue", 0, 0, 0, 145, 0, 0, 17, 14, 176
"d:\WH_flower_management\src\main.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\WH_flower_management\src\requests\axios.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 13
"d:\WH_flower_management\src\router\index.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 4, 66
"d:\WH_flower_management\src\store\index.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 25
"d:\WH_flower_management\src\utils\clipboard.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 4, 33
"d:\WH_flower_management\src\utils\oss.js", "JavaScript", 38, 0, 0, 0, 0, 0, 10, 1, 49
"d:\WH_flower_management\src\utils\request.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\WH_flower_management\src\views\AbstractTable\Edit.vue", "Vue", 0, 0, 0, 186, 0, 0, 0, 13, 199
"d:\WH_flower_management\src\views\AbstractTable\index.vue", "Vue", 0, 0, 0, 96, 0, 0, 1, 6, 103
"d:\WH_flower_management\src\views\AbstractView.vue", "Vue", 0, 0, 0, 209, 0, 0, 3, 28, 240
"d:\WH_flower_management\src\views\AddPoint.vue", "Vue", 0, 0, 0, 204, 0, 0, 6, 24, 234
"d:\WH_flower_management\src\views\HomeView.vue", "Vue", 0, 0, 0, 162, 0, 0, 0, 19, 181
"d:\WH_flower_management\src\views\PointTable\Detail.vue", "Vue", 0, 0, 0, 93, 0, 0, 0, 7, 100
"d:\WH_flower_management\src\views\PointTable\Edit.vue", "Vue", 0, 0, 0, 186, 0, 0, 0, 13, 199
"d:\WH_flower_management\src\views\PointTable\index.vue", "Vue", 0, 0, 0, 115, 0, 0, 1, 6, 122
"d:\WH_flower_management\src\views\UserTable\Detail.vue", "Vue", 0, 0, 0, 77, 0, 0, 0, 8, 85
"d:\WH_flower_management\src\views\UserTable\Edit.vue", "Vue", 0, 0, 0, 195, 0, 0, 0, 14, 209
"d:\WH_flower_management\src\views\UserTable\index.vue", "Vue", 0, 0, 0, 105, 0, 0, 1, 7, 113
"d:\WH_flower_management\vue.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"Total", "-", 199, 19, 33, 2098, 13096, 8, 60, 217, 15730
