"filename", "language", "JSON", "Vue", "JavaScript", "CSS", "comment", "blank", "total"
"d:\WH_flower_management\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 6
"d:\WH_flower_management\package.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"d:\WH_flower_management\public\tinymce\langs\zh-Hans.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1
"d:\WH_flower_management\public\tinymce\skins\content\dark\content.css", "CSS", 0, 0, 0, -59, -13, -1, -73
"d:\WH_flower_management\public\tinymce\skins\content\dark\content.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\content\default\content.css", "CSS", 0, 0, 0, -54, -13, -1, -68
"d:\WH_flower_management\public\tinymce\skins\content\default\content.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\content\document\content.css", "CSS", 0, 0, 0, -59, -13, -1, -73
"d:\WH_flower_management\public\tinymce\skins\content\document\content.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\content\writer\content.css", "CSS", 0, 0, 0, -55, -13, -1, -69
"d:\WH_flower_management\public\tinymce\skins\content\writer\content.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\ui\oxide-dark\content.css", "CSS", 0, 0, 0, -697, -17, -1, -715
"d:\WH_flower_management\public\tinymce\skins\ui\oxide-dark\content.inline.css", "CSS", 0, 0, 0, -710, -16, -1, -727
"d:\WH_flower_management\public\tinymce\skins\ui\oxide-dark\content.inline.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\ui\oxide-dark\content.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\ui\oxide-dark\content.mobile.css", "CSS", 0, 0, 0, -21, -8, -1, -30
"d:\WH_flower_management\public\tinymce\skins\ui\oxide-dark\content.mobile.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\ui\oxide-dark\skin.css", "CSS", 0, 0, 0, -3025, -22, -1, -3048
"d:\WH_flower_management\public\tinymce\skins\ui\oxide-dark\skin.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\ui\oxide-dark\skin.mobile.css", "CSS", 0, 0, 0, -643, -30, -1, -674
"d:\WH_flower_management\public\tinymce\skins\ui\oxide-dark\skin.mobile.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\ui\oxide-dark\skin.shadowdom.css", "CSS", 0, 0, 0, -31, -6, -1, -38
"d:\WH_flower_management\public\tinymce\skins\ui\oxide-dark\skin.shadowdom.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\ui\oxide\content.css", "CSS", 0, 0, 0, -716, -16, -1, -733
"d:\WH_flower_management\public\tinymce\skins\ui\oxide\content.inline.css", "CSS", 0, 0, 0, -710, -16, -1, -727
"d:\WH_flower_management\public\tinymce\skins\ui\oxide\content.inline.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\ui\oxide\content.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\ui\oxide\content.mobile.css", "CSS", 0, 0, 0, -21, -8, -1, -30
"d:\WH_flower_management\public\tinymce\skins\ui\oxide\content.mobile.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\ui\oxide\skin.css", "CSS", 0, 0, 0, -3025, -22, -1, -3048
"d:\WH_flower_management\public\tinymce\skins\ui\oxide\skin.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\ui\oxide\skin.mobile.css", "CSS", 0, 0, 0, -643, -30, -1, -674
"d:\WH_flower_management\public\tinymce\skins\ui\oxide\skin.mobile.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\public\tinymce\skins\ui\oxide\skin.shadowdom.css", "CSS", 0, 0, 0, -31, -6, -1, -38
"d:\WH_flower_management\public\tinymce\skins\ui\oxide\skin.shadowdom.min.css", "CSS", 0, 0, 0, -1, -6, -1, -8
"d:\WH_flower_management\src\components\tinymce\tinymce-editor.vue", "Vue", 0, 0, 0, 0, 0, -1, -1
"d:\WH_flower_management\src\router\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 5
"d:\WH_flower_management\src\views\AbstractTable\Edit.vue", "Vue", 0, 0, 0, 0, 0, -1, -1
"d:\WH_flower_management\src\views\PickPoint.vue", "Vue", 0, 235, 0, 0, 9, 15, 259
"Total", "-", 7, 235, 4, -10516, -336, -19, -10625
