"filename", "language", "Markdown", "JSON", "JavaScript", "JSON with Comments", "HTML", "Vue", "comment", "blank", "total"
"d:\WH_flower_management\README.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\WH_flower_management\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\WH_flower_management\jsconfig.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 12, 0, 20
"d:\WH_flower_management\mapConfig.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\WH_flower_management\package-lock.json", "JSON", 0, 13036, 0, 0, 0, 0, 0, 1, 13037
"d:\WH_flower_management\package.json", "JSON", 0, 70, 0, 0, 0, 0, 0, 1, 71
"d:\WH_flower_management\public\index.html", "HTML", 0, 0, 0, 0, 41, 0, 1, 6, 48
"d:\WH_flower_management\src\App.vue", "Vue", 0, 0, 0, 0, 0, 16, 0, 3, 19
"d:\WH_flower_management\src\components\AvatarUpload.vue", "Vue", 0, 0, 0, 0, 0, 236, 8, 9, 253
"d:\WH_flower_management\src\components\Header.vue", "Vue", 0, 0, 0, 0, 0, 74, 0, 8, 82
"d:\WH_flower_management\src\components\Heart.vue", "Vue", 0, 0, 0, 0, 0, 145, 17, 14, 176
"d:\WH_flower_management\src\components\ImageUpload.vue", "Vue", 0, 0, 0, 0, 0, 246, 7, 10, 263
"d:\WH_flower_management\src\components\tinymce\oss.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\WH_flower_management\src\components\tinymce\tinymce-editor.vue", "Vue", 0, 0, 0, 0, 0, 106, 8, 3, 117
"d:\WH_flower_management\src\main.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 4, 23
"d:\WH_flower_management\src\requests\axios.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 13
"d:\WH_flower_management\src\router\index.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 4, 81
"d:\WH_flower_management\src\store\index.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 3, 25
"d:\WH_flower_management\src\utils\clipboard.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 4, 33
"d:\WH_flower_management\src\utils\oss.js", "JavaScript", 0, 0, 38, 0, 0, 0, 10, 1, 49
"d:\WH_flower_management\src\utils\request.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\WH_flower_management\src\views\AbstractTable\Edit.vue", "Vue", 0, 0, 0, 0, 0, 94, 1, 7, 102
"d:\WH_flower_management\src\views\AbstractTable\index.vue", "Vue", 0, 0, 0, 0, 0, 96, 1, 6, 103
"d:\WH_flower_management\src\views\AbstractView.vue", "Vue", 0, 0, 0, 0, 0, 209, 3, 28, 240
"d:\WH_flower_management\src\views\AddPoint.vue", "Vue", 0, 0, 0, 0, 0, 185, 0, 18, 203
"d:\WH_flower_management\src\views\HomeView.vue", "Vue", 0, 0, 0, 0, 0, 163, 0, 19, 182
"d:\WH_flower_management\src\views\PickPoint.vue", "Vue", 0, 0, 0, 0, 0, 235, 9, 15, 259
"d:\WH_flower_management\src\views\PointTable\Detail.vue", "Vue", 0, 0, 0, 0, 0, 93, 0, 7, 100
"d:\WH_flower_management\src\views\PointTable\Edit.vue", "Vue", 0, 0, 0, 0, 0, 198, 0, 18, 216
"d:\WH_flower_management\src\views\PointTable\index.vue", "Vue", 0, 0, 0, 0, 0, 115, 1, 6, 122
"d:\WH_flower_management\src\views\UserTable\Detail.vue", "Vue", 0, 0, 0, 0, 0, 77, 0, 8, 85
"d:\WH_flower_management\src\views\UserTable\Edit.vue", "Vue", 0, 0, 0, 0, 0, 249, 0, 14, 263
"d:\WH_flower_management\src\views\UserTable\index.vue", "Vue", 0, 0, 0, 0, 0, 108, 1, 8, 117
"d:\WH_flower_management\vue.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 2, 10
"Total", "-", 19, 13106, 221, 8, 41, 2645, 79, 237, 16356
