"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "JSON", "HTML", "Vue", "comment", "blank", "total"
"d:\WH_Flower\WH_flower_management\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 6, 25
"d:\WH_Flower\WH_flower_management\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\WH_Flower\WH_flower_management\jsconfig.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 12, 0, 20
"d:\WH_Flower\WH_flower_management\mapConfig.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\WH_Flower\WH_flower_management\package-lock.json", "JSON", 0, 0, 0, 13036, 0, 0, 0, 1, 13037
"d:\WH_Flower\WH_flower_management\package.json", "JSON", 0, 0, 0, 70, 0, 0, 0, 1, 71
"d:\WH_Flower\WH_flower_management\public\index.html", "HTML", 0, 0, 0, 0, 41, 0, 1, 6, 48
"d:\WH_Flower\WH_flower_management\src\App.vue", "Vue", 0, 0, 0, 0, 0, 16, 0, 3, 19
"d:\WH_Flower\WH_flower_management\src\components\AbstractImageUpload.vue", "Vue", 0, 0, 0, 0, 0, 249, 7, 10, 266
"d:\WH_Flower\WH_flower_management\src\components\AvatarUpload.vue", "Vue", 0, 0, 0, 0, 0, 236, 8, 9, 253
"d:\WH_Flower\WH_flower_management\src\components\Header.vue", "Vue", 0, 0, 0, 0, 0, 74, 0, 8, 82
"d:\WH_Flower\WH_flower_management\src\components\Heart.vue", "Vue", 0, 0, 0, 0, 0, 145, 17, 14, 176
"d:\WH_Flower\WH_flower_management\src\components\ImageUpload.vue", "Vue", 0, 0, 0, 0, 0, 246, 7, 10, 263
"d:\WH_Flower\WH_flower_management\src\components\tinymce\oss.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\WH_Flower\WH_flower_management\src\components\tinymce\tinymce-editor.vue", "Vue", 0, 0, 0, 0, 0, 106, 8, 3, 117
"d:\WH_Flower\WH_flower_management\src\main.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 4, 23
"d:\WH_Flower\WH_flower_management\src\requests\axios.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 13
"d:\WH_Flower\WH_flower_management\src\router\index.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 4, 86
"d:\WH_Flower\WH_flower_management\src\store\index.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 25
"d:\WH_Flower\WH_flower_management\src\utils\clipboard.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 4, 33
"d:\WH_Flower\WH_flower_management\src\utils\mapConfig.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\WH_Flower\WH_flower_management\src\utils\ossConfig.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 8
"d:\WH_Flower\WH_flower_management\src\views\AbstractTable\Edit.vue", "Vue", 0, 0, 0, 0, 0, 115, 1, 7, 123
"d:\WH_Flower\WH_flower_management\src\views\AbstractTable\ImageEdit.vue", "Vue", 0, 0, 0, 0, 0, 272, 3, 30, 305
"d:\WH_Flower\WH_flower_management\src\views\AbstractTable\index.vue", "Vue", 0, 0, 0, 0, 0, 101, 1, 6, 108
"d:\WH_Flower\WH_flower_management\src\views\AbstractView.vue", "Vue", 0, 0, 0, 0, 0, 210, 3, 28, 241
"d:\WH_Flower\WH_flower_management\src\views\AddPoint.vue", "Vue", 0, 0, 0, 0, 0, 182, 0, 18, 200
"d:\WH_Flower\WH_flower_management\src\views\HomeView.vue", "Vue", 0, 0, 0, 0, 0, 163, 0, 19, 182
"d:\WH_Flower\WH_flower_management\src\views\PickPoint.vue", "Vue", 0, 0, 0, 0, 0, 241, 8, 15, 264
"d:\WH_Flower\WH_flower_management\src\views\PointTable\Detail.vue", "Vue", 0, 0, 0, 0, 0, 94, 0, 7, 101
"d:\WH_Flower\WH_flower_management\src\views\PointTable\Edit.vue", "Vue", 0, 0, 0, 0, 0, 199, 0, 18, 217
"d:\WH_Flower\WH_flower_management\src\views\PointTable\index.vue", "Vue", 0, 0, 0, 0, 0, 116, 1, 6, 123
"d:\WH_Flower\WH_flower_management\src\views\UserTable\Detail.vue", "Vue", 0, 0, 0, 0, 0, 78, 0, 8, 86
"d:\WH_Flower\WH_flower_management\src\views\UserTable\Edit.vue", "Vue", 0, 0, 0, 0, 0, 250, 0, 14, 264
"d:\WH_Flower\WH_flower_management\src\views\UserTable\index.vue", "Vue", 0, 0, 0, 0, 0, 109, 1, 8, 118
"d:\WH_Flower\WH_flower_management\vue.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"Total", "-", 200, 8, 19, 13106, 41, 3202, 78, 275, 16929
